timestamp,utilization.gpu,memory.used
2022/07/31 13:45:12.081, 0, 18352
2022/07/31 13:45:12.081, 0, 314
2022/07/31 13:45:12.082, 0, 314
2022/07/31 13:45:12.083, 0, 314
2022/07/31 13:45:12.083, 0, 314
2022/07/31 13:45:12.084, 0, 314
2022/07/31 13:45:12.085, 0, 314
2022/07/31 13:45:12.085, 0, 314
2022/07/31 13:45:13.086, 0, 18352
2022/07/31 13:45:13.086, 0, 314
2022/07/31 13:45:13.087, 0, 314
2022/07/31 13:45:13.087, 0, 314
2022/07/31 13:45:13.087, 0, 314
2022/07/31 13:45:13.087, 0, 314
2022/07/31 13:45:13.087, 0, 314
2022/07/31 13:45:13.087, 0, 314
